hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
5127,5091,Amazon,Beni 1,c5127,c5091,14539.06656824036,Bolivia,RO,Madeira
5131,5129,Amazon,Madre de Dios 2,c5131,c5129,16380.20871845079,Bolivia,,Madeira
5136,5127,Amazon,Orthon,c5136,c5127,4250.746695313927,Bolivia,,Madeira
5137,5136,Amazon,Manuripi,c5137,c5136,13565.567735221117,Bolivia,,Madeira
5146,5145,Amazon,Negro,c5146,c5145,8855.020504710365,Bolivia,,Madeira
5147,5091,Amazon,Branco,c5147,c5091,13144.083393986217,Brazil,RO,Madeira
5109,5092,Amazon,Ouro Preto,c5109,c5092,16917.608392808575,Brazil,RO,Madeira
5148,5091,Amazon,Jamari,c5148,c5091,16429.502478782688,Brazil,RO,Madeira
5149,5148,Amazon,Candeias,c5149,c5148,12834.208653723552,Brazil,RO,Madeira
5079,5077,Amazon,Mataura,c5079,c5077,8130.659072163942,Brazil,AM,Madeira
5115,5111,Amazon,Mamore 3,c5115,c5111,20566.56896244075,Bolivia,,Madeira
5126,5115,Amazon,Ibare,c5126,c5115,11850.20809255453,Bolivia,,Madeira
5110,5092,Amazon,Yata,c5110,c5092,20635.33407991789,Bolivia,RO,Madeira
5078,5077,Amazon,Manicore,c5078,c5077,11115.809098058015,Brazil,AM,Madeira
5082,5080,Amazon,Roosevelt 1,c5082,c5080,10570.882707166287,Brazil,AM,Madeira
5081,5080,Amazon,Guaribe,c5081,c5080,16218.801920901305,Brazil,MT,Madeira
5083,5082,Amazon,Branco,c5083,c5082,12382.122706028602,Brazil,MT,Madeira
5084,5082,Amazon,Madeirinha,c5084,c5082,11138.91531128075,Brazil,MT,Madeira
5090,5087,Amazon,Marmelos,c5090,c5087,27455.637631670852,Brazil,AM,Madeira
5095,5093,Amazon,Manuel Correia,c5095,c5093,9304.425255466514,Brazil,RO,Madeira
5094,5093,Amazon,Sao Simao,c5094,c5093,8340.058440319779,Brazil,RO,Madeira
5106,5093,Amazon,Guapore 2,c5106,c5093,23157.55469847773,Brazil,RO,Madeira
